date	commit	mode	bytes	asm_lines	source	subject
2026-06-29T16:13:53	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-29T16:13:53	88f843f+	Os	3861	3194	bench.c	fixed failing unit tests
2026-06-29T16:13:53	88f843f+	O	6088	4592	bench.c	fixed failing unit tests
2026-06-29T16:22:37	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-29T16:22:37	88f843f+	Os	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-29T16:22:37	88f843f+	O	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T08:53:45	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-30T08:53:45	88f843f+	Os	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T08:53:45	88f843f+	O	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T08:57:31	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-30T08:57:31	88f843f+	Os	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T08:57:31	88f843f+	O	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T09:02:06	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-30T09:02:06	88f843f+	Os	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T09:02:06	88f843f+	O	FAIL	FAIL	bench.c	fixed failing unit tests
2026-06-30T09:24:14	88f843f+	none	4671	4199	bench.c	fixed failing unit tests
2026-06-30T09:24:14	88f843f+	Os	3861	3194	bench.c	fixed failing unit tests
2026-06-30T09:24:14	88f843f+	O	6088	4592	bench.c	fixed failing unit tests
2026-06-30T10:04:50	4f61f8d	none	5127	4568	bench.c	stuff
2026-06-30T10:04:50	4f61f8d	Os	4243	3487	bench.c	stuff
2026-06-30T10:04:50	4f61f8d	O	7105	5223	bench.c	stuff
2026-06-30T10:17:12	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:17:12	4f61f8d+	Os	FAIL	3461	bench.c	stuff
2026-06-30T10:17:12	4f61f8d+	O	FAIL	4231	bench.c	stuff
2026-06-30T10:18:09	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:18:09	4f61f8d+	Os	FAIL	3461	bench.c	stuff
2026-06-30T10:18:09	4f61f8d+	O	FAIL	4231	bench.c	stuff
2026-06-30T10:21:29	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:21:29	4f61f8d+	Os	FAIL	3461	bench.c	stuff
2026-06-30T10:21:29	4f61f8d+	O	FAIL	4231	bench.c	stuff
2026-06-30T10:23:09	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:23:09	4f61f8d+	Os	4243	3487	bench.c	stuff
2026-06-30T10:23:09	4f61f8d+	O	7105	5223	bench.c	stuff
2026-06-30T10:46:07	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:46:07	4f61f8d+	Os	4243	3487	bench.c	stuff
2026-06-30T10:46:07	4f61f8d+	O	7105	5223	bench.c	stuff
2026-06-30T10:49:28	cb06d4f+	none	5107	4461	bench.c	make generated c code produce assignment to address on the same line as declaration
2026-06-30T10:49:28	cb06d4f+	Os	4221	3393	bench.c	make generated c code produce assignment to address on the same line as declaration
2026-06-30T10:49:28	cb06d4f+	O	8278	6018	bench.c	make generated c code produce assignment to address on the same line as declaration
2026-06-30T10:51:17	4f61f8d+	none	5107	4461	bench.c	stuff
2026-06-30T10:51:17	4f61f8d+	Os	4221	3393	bench.c	stuff
2026-06-30T10:51:17	4f61f8d+	O	8278	6018	bench.c	stuff
2026-06-30T10:52:15	4f61f8d+	none	5127	4568	bench.c	stuff
2026-06-30T10:52:15	4f61f8d+	Os	4243	3487	bench.c	stuff
2026-06-30T10:52:15	4f61f8d+	O	7105	5223	bench.c	stuff
